"x"
"1" "YJL088W"
"2" "YOR071C"
"3" "YDL241W"
"4" "YMR058W"
"5" "YCL021W-A"
"6" "YDL042C"
"7" "YHR018C"
"8" "YIL011W"
"9" "YDR384C"
"10" "YGL032C"
"11" "YIL121W"
"12" "YLR040C"
"13" "YCR106W"
"14" "YHR046C"
"15" "YHR092C"
"16" "YPL273W"
"17" "YBR145W"
"18" "YLR214W"
"19" "YPL177C"
