"x"
"1" "YIL073C"
"2" "YBR163W"
"3" "YIL024C"
"4" "YBR071W"
"5" "YIL140W"
"6" "YBL048W"
"7" "YIR001C"
"8" "YBR204C"
"9" "YBR038W"
"10" "YBL015W"
"11" "YLR304C"
"12" "YBR119W"
"13" "YER028C"
"14" "YBR146W"
"15" "YIL093C"
"16" "YBR026C"
"17" "YKL070W"
"18" "YBL037W"
"19" "YBR054W"
"20" "YBL099W"
"21" "YIL067C"
"22" "YBR041W"
"23" "YBR105C"
"24" "YIL141W"
"25" "YIL034C"
"26" "YBR132C"
"27" "YBL023C"
"28" "YBR221C"
"29" "YBR024W"
"30" "YBR130C"
"31" "YIL010W"
"32" "YBR058C"
"33" "YBR216C"
"34" "YBL069W"
"35" "YBR161W"
"36" "YBL010C"
"37" "YIL035C"
"38" "YIL046W"
"39" "YBR080C"
"40" "YBR021W"
"41" "YBR094W"
"42" "YIR033W"
"43" "YIL026C"
"44" "YBR065C"
"45" "YBL095W"
"46" "YBR133C"
"47" "YGL185C"
"48" "YBR168W"
"49" "YIL021W"
"50" "YBR089C-A"
"51" "YBR281C"
"52" "YKL163W"
"53" "YBR057C"
"54" "YBR128C"
"55" "YIL143C"
"56" "YBR260C"
"57" "YBR046C"
"58" "YBR257W"
"59" "YIL071C"
"60" "YLR299W"
"61" "YBL093C"
"62" "YGR110W"
"63" "YIL055C"
"64" "YIL088C"
"65" "YBR015C"
"66" "YBR005W"
"67" "YNR001C"
"68" "YBR120C"
"69" "YBR063C"
"70" "YOL082W"
"71" "YIL117C"
"72" "YDR380W"
"73" "YBL036C"
"74" "YIL044C"
"75" "YBR217W"
"76" "YBR055C"
"77" "YCL049C"
"78" "YBL082C"
"79" "YBR135W"
"80" "YIL137C"
"81" "YOL083W"
"82" "YBR103W"
"83" "YBL025W"
"84" "YBR097W"
"85" "YIL160C"
"86" "YBR143C"
"87" "YBL031W"
"88" "YBR234C"
"89" "YBL024W"
"90" "YIL132C"
"91" "YBR220C"
"92" "YBR253W"
"93" "YIL104C"
"94" "YBR013C"
"95" "YGR043C"
"96" "YLL041C"
"97" "YBR185C"
"98" "YBR023C"
"99" "YIL151C"
